EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
030549605,DIVINE CHILD OF THE LIGHT INC,% JANE WHITNEY,FRANKLIN TN 37067,TONGA,,00000-0000,0000,03,3,7120,200808,1,15,000000000,1,01,201712,0,0,02,0,12,0,0,0,X20,
043310091,RED KNIGHTS INTERNATIONAL MOTORCYCLE CLUB INC,% SCOTT RYAN,CHARLOTTETOWN PE C1A 7K7,CANADA,,00000-0000,0000,07,3,1000,199805,2,00,281000000,1,01,201712,5,4,01,0,12,520885,124538,124538,,
043319132,OTTOMAN STUDIES FOUNDATION INC,,FATIH ISTANBUL TURKEY,TURKEY,,00000-0000,0000,03,3,2000,199806,2,16,092000000,1,01,201912,4,3,01,0,12,115372,71047,71047,A76P,
043491218,RESILENCE ALLIANCE INC,% PHIL TAYLOR BIOLOGY DEPT,LOCAL,CANADA,,00000-0000,0000,03,3,1000,200001,4,15,000000000,1,01,201903,4,4,01,0,03,228930,281582,281582,C30,
043509510,DO THE RIGHT THING FOUNDATION TR,% BARRY E SCHWARTZ,ESCAZU SAN JOSE 10201,COSTA RICA,,00000-0000,0000,03,3,1000,200008,2,04,000000000,2,01,201812,4,1,00,1,12,146062,9677,,T20,
043575007,PENTECOSTAL MOVEMENT COUNCIL INC,% GENARO TORRES,PO BOX 6193,ST CROIX,VI,00823-6193,0000,03,3,7000,200510,1,10,000000000,1,01,,0,0,06,0,05,,,,X20,
043700254,IGLESIA EVANGELICA MISIONERA FUERZA AGAPE,% ROBERT RANSOM,PO BOX 580,SAN ANTONIO,PR,00690-0580,2046,03,9,7000,196911,1,10,001000000,5,01,,0,0,06,0,12,,,,,
043720924,GLOBAL EQUIP MINISTRIES,% PAUL PERRY,BELO HORIZONTE MG 30331-970,BRAZIL,,00000-0000,1894,03,9,7000,196709,1,10,029000000,5,01,,0,0,06,0,12,,,,,
043746994,CHICAGO MINISTRY EQUIPPING TRAINING CENTER,% ROSALIND MINOR,BURKANK IL 60459,AFGHANISTAN,,00000-0000,0000,03,3,1000,201304,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,O30,
043799922,BRIDGES OF GRACE,% BERNICE TRASK,BLAIRSVILLE PENNSYLVANIA 15717,GUATEMALA,,00000-0000,8617,03,9,7000,199112,1,10,001029000,1,01,201912,0,0,06,0,12,0,0,0,,ARLENE REITZ
046189963,PEO SISTERHOOD INTERNATIONAL CHAPTER,% TREASURER,DES MOINES IA 50312,AFGHANISTAN,,00000-0000,1072,04,9,1000,196709,2,00,059921319,5,01,202002,0,0,02,0,02,0,0,0,,04 CHAPTER H-MA
050565332,FRIENDS OF THE IRONWOOD CARNEGIE LIBRARY,% FRIENDS OF THE IRONEOOD CARNEGIE,IRONWOOD MI 49938-9505,AFGHANISTAN,,00000-0000,0000,03,3,1200,200702,1,16,000000000,1,01,201912,0,0,02,0,12,0,0,0,B117,
060602997,TITI MILLIE DAY CARE INC,,PO BOX 1347,GUANICA,PR,00653-1347,0000,03,3,1000,200206,1,15,000000000,1,01,201909,4,4,01,0,09,100853,395232,395232,P33,
060706038,BERMUDA INSTITUTE OF OCEAN SCIENCES BIOS INC,,ST GEORGES GE 01,BERMUDA,,00000-0000,0000,03,3,8000,194710,1,16,161180000,1,01,201912,8,8,01,0,12,39315399,13714252,12697672,U50Z,
061291614,NATIONAL AIR TRAFFIC CONTROLLERS ASSOCIATION,% FACILITY REPRESENTATIVE,1 JOHN BREWERS BAY,CHARLOTTE AMA,VI,00802-6003,3254,05,9,3000,199002,0,00,263000000,0,01,201912,0,0,02,0,12,0,0,0,,NATCA LOCAL STT
061619174,FRIENDS OF THE BISHOP STRACHAN SCHOOL INC,% KATHLEEN JENSEN,TORONTO ON M4V 1X2,CANADA,,00000-0000,0000,03,3,1000,201907,1,15,000000000,1,01,202006,1,2,02,0,06,1150,19148,19148,Q12,
061700976,SEED OF LIFE WORLD MINISTRIES,% HELEN SPENCER,CEB-KU ATTN AMC-ITT/FWD,APO,AE,09366-0000,0000,03,3,7000,200506,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
061807560,ORDER OF ST JOHN INC,,5030 ANCHOR WAY,CHRISTIANSTED,VI,00820-4692,0000,03,3,1000,201407,1,15,000000000,1,01,201812,2,3,02,0,12,18035,38658,38658,Z99,
066037010,AMERICAN ACADEMY OF INSURANCE MEDICINE,% AAIM,OTTAWA ONTARIO K2E 7J6,CANADA,,00000-0000,0000,06,3,1000,194406,2,00,205000000,5,01,201912,5,4,01,0,12,860392,362794,332794,,
066039988,WIEGAND MEMORIAL FOUNDATION INC,,MONTREAL QC H4A 2Z6,CANADA,,00000-0000,0000,03,3,1000,195711,4,04,161180059,1,01,201812,5,4,00,1,12,757783,336057,,,
112518719,LENNIE TRISTANO JAZZ FOUNDATION INC,% CAROL TRISTANO,ARCUEIL ILE DE FRANCE 94110,FRANCE,,00000-0000,0000,03,3,3000,198809,1,16,090000000,1,01,201912,0,0,02,0,12,0,0,0,,
113294425,THE OBSIDIAN SOCIETY INC,% KELVIN SEALEY,TORONTO ONTARIO M5S 2R4,CANADA,,00000-0000,0000,03,3,1000,199710,1,15,994561602,1,01,201912,1,0,02,0,12,1,0,0,A70,
113452714,FRIENDS OF YESHIVA CHOFETZ CHAIM KOLEL-ISRAEL,% GALITZER,JERUSALEM ISRAEL,ISRAEL,,00000-0000,0000,03,3,1200,199904,4,15,000000000,1,01,201912,3,3,02,0,12,83548,40137,40137,P20,
113503195,SAAC CORP,% SIGFREDO AQUADO DE LA CRUZ,1357 AVE ASHFORD PMB 379,SAN JUAN,PR,00907-1400,0000,03,3,1000,200504,1,15,000000000,1,01,201712,1,0,02,0,12,1,0,0,L20,
116030604,WORLDS WOMANS CHRISTIAN TEMPERANCE UNION,% SARAH F WARD,KARMOY,NORWAY,,00000-0000,0000,03,3,1000,202002,1,16,059349000,5,01,202012,0,0,02,0,12,0,0,0,P20,
116605083,KINGJAY FOUNDATION TRUST,% STERN,90435 EFRAT,ISRAEL,,00000-0000,0000,03,3,1000,200605,1,04,000000000,2,01,201912,6,7,00,1,12,4533722,6002294,,T22,
122680572,CANADIAN UNICEF COMMITTEE-COMITE UNICEF CANADA,% 2200 YONGE ST,TORNONO ONTARIO M4P2Y3,CANADA,,00000-0000,0000,03,3,1000,200501,4,15,000000000,1,01,201812,1,3,02,0,12,1,38399,38399,Q42,
131599108,CHANCELLOR MASTERS AND SCHOLARS OF THE UNIVERSITY OF CAMBRIDGE,% DAVID HUGHES DIR OF FINANCE,CAMBRIDGE UNITED KINGDOM CB2 1TN,UNITED KINGDOM,,00000-0000,0000,03,3,1200,193707,1,11,059000000,1,01,201907,9,9,01,0,07,10592619928,2627632354,2624960196,,
131739780,INTERNATIONAL PLATE PRINTERS DIE STAMPERS & ENGRAVERS UNION OF N A,% KENNETH J JOHNSON,OTTAWA ONTARIO K2K3B2,CANADA,,00000-0000,0699,05,6,3000,194409,2,00,263000000,5,01,201712,0,0,02,0,12,0,0,0,,PLATE PRINTERS AFL-CIO
132556216,UPPER CANADA EDUCATIONAL FOUNDATION,% K C CLARK,TORONTO ON M4V 1W6,CANADA,,00000-0000,0000,03,3,1200,196808,4,16,059602040,1,01,201906,4,4,01,0,06,139988,230410,230410,,
132971607,PHILHARMONIA FOUNDATION,% DAVID WHELTON-MICHAEL ELLISTON,LONDON UK SE1 0UX,UNITED KINGDOM,,00000-0000,0000,03,3,1000,197903,1,15,090602000,1,01,201905,4,3,01,0,05,113353,65000,65000,A110,SYDNEY GRUSON
133031108,FRIENDS OF THE HAGUE ACADEMY OF INTERNATIONAL LAW INC,% LUCY REED,THE HAGUE ZUID-HOLLAND 2517 KJ,NETHERLANDS,,00000-0000,0000,03,3,1000,198007,1,15,602000000,1,01,202009,0,0,02,0,09,0,0,0,,
133085180,ROYAL SHAKESPEARE,,WARWICKSHIRE UNITED KI CV37 6BB,UNITED KINGDOM,,00000-0000,0000,03,3,1200,198110,2,15,123090094,1,01,201903,9,9,01,0,03,178159247,113299737,113299737,A650,
133211128,WORLD FEDERATION OF SOCIETIES OF ANAESTHESIOLOGISTS,% MICHAEL ROSEN TREASURER,LONDON SW1P 2AF,UNITED KINGDOM,,00000-0000,0000,03,3,1000,198503,1,15,162000000,5,01,201912,6,6,01,0,12,2908576,1402351,1402351,G91Z,
133347776,BURLINGTON MAGAZINE FOUNDATION INC,,LONDON ENGLAND WC1H 9SZ,UNITED KINGDOM,,00000-0000,0000,03,3,1000,198609,2,03,120000000,1,01,201812,6,4,00,1,12,3293168,130228,,,
133537034,STUTTGART VETERANS OF FOREIGN WARS POST 10810,% WAYNE J HOLDER,CMR 480 BOX GD,APO,AE,09128-0000,0000,19,3,1000,201703,1,00,000000000,5,01,202006,0,0,02,0,06,0,0,0,W30,POST 10810
133748085,EVANS FAMILY FOUNDATION,,LONDON UNITED KINGDOM W11 3HB,UNITED KINGDOM,,00000-0000,0000,03,3,1000,199412,2,04,602000000,2,01,201711,7,4,00,1,11,9191819,232789,,,
133785442,GREAT PACIFIC FOUNDATION,% JIMMY PATTISON,LOCAL,BOTSWANA,,00000-0000,0000,03,3,1000,199501,4,04,602000000,1,01,201912,8,6,00,1,12,24700778,3744657,,Z99Z,
133823577,AMERICAN FRIENDS OF ENGLISH NATIONAL OPERA INC,% PETER KOHL,LONDON NW31SU,UNITED KINGDOM,,00000-0000,0000,03,1,1000,200811,1,15,994602000,1,01,201812,4,4,01,0,12,121609,117579,117579,A116,
133989532,GARY WILLIAMS FOUNDATION,% CUMBERLAND HOUSE,RICHMOND SW7 4LL,UNITED KINGDOM,,00000-0000,0000,03,3,1000,199807,2,04,602000000,2,01,201801,6,2,00,1,01,1559751,12360,,T20Z,
133993558,GRATCH FOUNDATION,% ARIEL GRATCH,HERTZELIA,ISRAEL,,00000-0000,0000,03,3,1000,199812,1,04,000000000,1,01,201812,4,0,00,1,12,127180,0,,T20,
134028661,REDRESS TRUST LIMITED,% WHITE & CASE LLP,LONDON SE11 5HJ,UNITED KINGDOM,,00000-0000,0000,03,3,1000,199910,1,16,000000000,1,01,201903,4,4,01,0,03,247176,250000,250000,Q70,
134045482,INTERNATIONAL PEDIATRIC TRANSPLANT ASSOCIATION INC,% NAPRTCS AMIR TEJANI MD,MONTREAL QUEBEC H2Z 1Y7,CANADA,,00000-0000,0000,03,3,1000,199905,1,15,000000000,1,01,201912,6,5,01,0,12,1569148,892244,621479,Q300,
134079395,LOZOWICK FAMILY FOUNDATION INC,% LOEB & LOEB LLP,JERUSALEM ISRAEL 93550,ISRAEL,,00000-0000,0000,03,3,1000,200011,4,04,000000000,1,01,201912,4,4,00,1,12,250172,113047,,T22,
134082426,NACHALAT YISROEL FOUNDATION,% DAVID GARBER,JERUSALEM 91430,ISRAEL,,00000-0000,0000,03,3,1000,200012,1,15,000000000,1,01,202008,0,0,02,0,08,0,0,0,X20,
134088704,DB FOUNDATION,% RICHARD BRONKS,HAMPSHIRE RG25 3AQ,UNITED KINGDOM,,00000-0000,0000,03,3,1000,200102,2,04,000000000,1,01,201910,5,4,00,1,10,777016,192285,,T22,
134164140,INTERNATIONAL FINANCIAL REPORTING STANDARDS FOUNDATION,% KRISTI ROBINSON CFO,CANARY WHARF OC E144HD,UNITED KINGDOM,,00000-0000,0000,03,3,2000,200106,1,15,000000000,1,01,201912,9,8,01,0,12,64066763,39925344,39925344,S034,
134190458,NER LE ELEF,% LEA RABI,JERUSALEM JERUSALEM 9548311,ISRAEL,,00000-0000,0000,03,3,1000,200201,1,15,000000000,1,01,201805,0,0,02,0,05,0,0,0,X30,
134203820,JOINT ISRAEL,% BINYAMIN CHERNOFSKY,JERUSALEM 91034,ISRAEL,,00000-0000,0000,03,3,1000,200211,2,15,000000000,1,01,201912,9,9,01,0,12,88047000,85720000,81220000,Q30,
136163055,FRIENDS OF MCMASTER INCORPORATED,% SAAD KHAN,HAMILTON ONTARIO L8S 4L8,CANADA,,00000-0000,0000,03,3,1000,198809,4,17,602000000,1,01,201912,3,6,01,0,12,54768,1538420,1538420,,
136266451,PEO SISTERHOOD INTERNATIONAL CHAPTER,% TREASURER,DES MOINES IA 50312,AFGHANISTAN,,00000-0000,1072,04,9,1000,196709,2,00,059921319,5,01,202002,0,0,02,0,02,0,0,0,,13 CHAPTER AQ-NY
136620923,UNIVERSITY OF WESTERN ONTARIO FOUNDATION INC,% FINANCIAL SERVICES DEPARTMENT,LONDON ONTARION N6A 3K7,CANADA,,00000-0000,0000,03,3,2000,196104,1,15,000000000,1,01,201804,2,4,01,0,04,15380,418821,418821,,
137119948,THE EDUCATION RENAISSANCE TRUST,% GORMAN DARBY & CO,LONDON EC1N 8EH,UNITED KINGDOM,,00000-0000,0000,03,3,1000,199804,2,04,119000000,2,01,201903,6,4,00,1,03,1459618,470360,,T20Z,BODDY DAVID ET AL TTEE
137265426,LOMDIM TR,% YIGAL GROSS,JERUSALEM 91344,ISRAEL,,00000-0000,0000,03,3,1000,200201,4,15,000000000,1,01,201904,0,0,02,0,04,0,0,0,T20,GROSS YIGAL TTEE
137302537,INSTITUTE FOR CULUTURAL DIPLOMACY INC,% MARK C DONFRIED,BERLIN BERLIN 13509,GERMANY,,00000-0000,0000,03,3,2000,200407,2,15,000000000,1,01,201806,0,0,02,0,06,0,0,0,Q40,KUDAMM KARREE 3RD FL HOCHHAUS
141782056,AMERICAN FRIENDS OF THE JEWISH BIBLE ASSOCIATION INC,% JOSHUA BACKON,JERUSALEM 00000,ISRAEL,,00000-0000,0000,03,3,1000,199509,4,15,994602000,1,01,201912,0,0,02,0,12,0,0,0,X99Z,
141807509,CIAR ASSOCIATION INC,% CANADIAN INSTITUTE FOR ADVANCED R,TORONTO ON M5G 1M1,CANADA,,00000-0000,0000,03,3,1000,199809,4,15,994602000,1,01,202006,0,0,02,0,06,0,0,0,Z99,
141965395,GIVE CHILDREN A CHANCE,% JARROD WILLIAM GOSY,CMR 414 BOX 2247,APO,AE,09173-0000,3317,03,9,7000,199112,2,10,001000000,1,01,,0,0,06,0,06,,,,,
151522504,CENTRAL IOWA RIVER PARTNERSHIP INC,% NEWTON GROTZINGER,HAMPTON IA 50441,AFGHANISTAN,,00000-0000,0000,03,3,1200,200507,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,A12,
161385355,AMERICAN FEDERATION OF TEACHERS,% CHARLES ACCIAIO,ROCHESTER NEW YORK 14624,UNITED KINGDOM,,00000-0000,0787,05,9,3000,196711,2,00,000000000,5,01,202006,0,0,02,0,06,0,0,0,,3735 GATES-CHILI TRANSPORTATION UNI
161574588,1 WORLD FOUNDATION INC,% JOSEPH L RICH PRES,KINGSTON ONTARIO K7M 8A6,CANADA,,00000-0000,0000,03,3,1000,199912,4,15,000000000,1,01,201903,1,0,02,0,03,1,0,0,T12,
161597741,PAUL HOY MINISTRIES,% REV PAUL A HOY,OAKVILLE ONT L6H 7G5,CANADA,,00000-0000,1621,03,9,7000,196402,0,10,001000000,5,01,,0,0,06,0,12,,,,,
161655556,ZERO TOLERANCE BASKETBALL ORGANIZATION INC,,OSWALD HARRIS CT BLDG 38 APT 285,ST THOMAS,VI,00802-3100,0000,03,3,1200,201408,1,15,000000000,1,01,201812,2,3,02,0,12,14162,33353,33353,N63,
200017244,AMRITA INSTITUTE FOR HEALTH,% DR DENNIS ISRAELSKI,HARARE CA 94305,ZIMBABWE,,00000-0000,0000,03,3,1000,201409,1,15,000000000,1,01,201812,0,0,02,0,12,0,0,0,P50,
200105601,JERUSALEM INSTITUTE FOR MARKET STUDIES INC,% ROBERT MARK SAUER,JERUSALEM 9222507,ISRAEL,,00000-0000,0000,03,3,2000,200312,4,15,000000000,1,01,201812,4,4,01,0,12,374320,375000,375000,Q30,
200333540,EMMAUS ROAD MINISTRIES,% BERKOWITZ & ASSOCIATES LLC,LLANOVER WALES NP7 9EF,UNITED KINGDOM,,00000-0000,0000,03,3,7000,200508,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,X20,
200443557,INTERNATIONAL FACILITY MANAGEMENT ASSOCIATION INC,% CHAPTER PRESIDENT,CALGARY AB T2Y 4R2,CANADA,,00000-0000,7100,06,9,1000,198904,0,00,000000000,5,01,,0,0,01,0,06,,,,,CALGARY CHAPTER
200443576,INTERNATIONAL FACILITY MANAGEMENT ASSOCIATION INC,% CHAPTER ADMINISTRATOR,OTTAWA ONTARIO K1Z 7S8,CANADA,,00000-0000,7100,06,9,1000,198904,0,00,000000000,5,01,,0,0,01,0,06,,,,,OTTAWA CHAPTER
200443583,INTERNATIONAL FACILITY MANAGEMENT ASSOCIATION INC,% CHAPTER PRESIDENT,EDMONTON ALBERTA,CANADA,,00000-0000,7100,06,9,1000,198904,0,00,000000000,5,01,,0,0,01,0,06,,,,,NORTHERN ALBERTA EDMONTON CHAPTER
200443614,INTERNATIONAL FACILITY MANAGEMENT ASSOCIATION INC,% CHAPTER ADMINISTRATOR,"VANCOUVER,BC,V6A 4G2",CANADA,,00000-0000,7100,06,9,1000,198904,0,00,000000000,5,01,,0,0,01,0,06,,,,,BRITISH COLUMBIA CHAPTER
200443628,INTERNATIONAL FACILITY MANAGEMENT ASSOCIATION INC,% CHAPTER ADMINISTRATOR,WINNIPEG MB R3P ON5,CANADA,,00000-0000,7100,06,9,1000,198904,0,00,000000000,5,01,,0,0,01,0,06,,,,,MANITOBA CHAPTER
200443640,INTERNATIONAL FACILITY MANAGEMENT ASSOCIATION INC,% CHAPTER PRESIDENT,"REGINA,SK,54P 3B8",CANADA,,00000-0000,7100,06,9,1000,198904,0,00,000000000,5,01,,0,0,01,0,06,,,,,REGINA CHAPTER
200644142,STRATEGIC SOLUTIONS NETWORK INC,% SANA JOSEPH,1013 ESTATE WHIM,FREDERIKSTED,VI,00840-3752,0000,03,3,1000,201511,1,16,000000000,1,01,201912,0,0,02,0,12,0,0,0,P20,
200835061,FRIENDS OF JOURNALISTS FOR HUMAN RIGHTS INC,% ALEXANDRA SICOTTE - LEVESQUE,TORONTO CA M5V 2L7,CANADA,,00000-0000,0000,03,3,1000,200411,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,R63,
201047772,HISTORIC BAHAMAS FOUNDATION INC,% LAW OFFICES OF JONATHON R MOORE,NASSAU NP N7474,THE BAHAMAS,,00000-0000,0000,03,3,2000,200405,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,A54,
201096061,KAMIEN FAMILY FOUNDATION,% ANITA KAMIEN,JERUSALEM,ISRAEL,,00000-0000,0000,03,3,1000,200603,1,04,000000000,1,01,201912,3,2,00,1,12,43992,14852,,B99,
201567425,IMAGINE GLOBAL INCORPORATED,% ABE CARMELI OREN FUERST,HERZLIYA,ISRAEL,,00000-0000,0000,03,3,1200,200509,1,15,000000000,1,01,202012,0,0,02,0,12,0,0,0,H05,
201653634,SANABEL MICROFINANCE OF THE ARAB COUNTRIES INC,,NEW CAIRO 11853,EGYPT,,00000-0000,0000,03,3,1000,200601,2,15,000000000,1,01,201912,5,4,01,0,12,917633,163218,163218,Q32,
202032957,OLD ROAD FUND INC,% R BRAXTON HILL III,ST JOHNS ANTIGUA W ST JOHNS ANTIG,ANTIGUA & BARBUDA,,00000-0000,0000,03,3,1200,200503,1,15,000000000,1,01,201912,4,4,01,0,12,100074,136489,136489,P20,
202175179,BE A HERO INCORPORATED,% LESLIE A MADSEN,KELOWNA BRITISH COLUMBIA Y2Y 6G2,CANADA,,00000-0000,0000,03,3,1000,200601,1,15,000000000,1,01,201912,2,3,01,0,12,11475,96546,96546,Q99,
202318102,MESHI EARLY CHILDHOOD DEVELOPMENT CENTER,,JERUSALEM MIDDLE EAST 97253,ISRAEL,,00000-0000,0000,03,3,1000,200306,2,11,000000000,1,01,201912,6,7,01,0,12,4423860,9687301,9687301,B28,
202431175,KWAJALEIN SWIM TEAM,% MARY ANNE RAZOOK,PO BOX 1390,APO,AP,96555-0000,0000,03,3,1000,201809,1,04,000000000,5,01,,0,0,00,1,12,,,,N67,
202431459,YOKWE YUK WOMENS CLUB,% KATHERINE REILLY,UNIT 17001 BOX 109,APO,AP,96555-0101,0000,04,3,3000,201706,2,00,000000000,5,01,201908,1,4,01,0,08,9625,145359,105185,S81,
202866021,SOCIETY FOR NEUROECONOMICS INC,% PODIUM SPECS,VICTORIA BRITISH COLUMBIA V8N 1X6,CANADA,,00000-0000,0000,03,3,2000,200509,1,16,000000000,1,01,201912,4,4,01,0,12,256032,255060,255060,V22,
203193115,AMERICAN FRIENDS OF UHN INC,,TORONTO ON MSG 2M9,CANADA,,00000-0000,0000,03,3,1000,200511,4,15,000000000,1,01,201903,3,6,01,0,03,89086,1511238,1511238,E112,
203317540,INTERNATIONAL SCHOOL PSYCHOLOGY ASSOCIATION INC,% DR ROBERT D CLARK,AMSTERDAM 1017 PR,NETHERLANDS,,00000-0000,0000,03,3,2100,200605,1,16,000000000,1,01,201912,4,4,01,0,12,321246,110233,110233,V23,
203396013,KWAJALEIN RUNNING CLUB,,UNIT 17001 BOX 103,APO,AP,96555-0101,0000,03,3,1000,201810,1,16,000000000,5,01,,0,0,02,0,07,,,,E70,
203476202,JOSEPH INDIA MISSION A COLORADO NONPROFIT CORPORATION,% LALU JOSEPH,URBANA ILLINOIS 61802,INDIA,,00000-0000,0000,03,3,1000,200709,1,15,000000000,1,01,201812,0,0,02,0,12,0,0,0,Q30,
203553514,THE TOSKAN CASALE FOUNDATION INC,% JULIE TOSKAN CASALE,"TORONTO, ON M5M 2N6",CANADA,,00000-0000,0000,03,3,1000,200606,1,04,000000000,1,01,201806,2,1,00,1,06,19262,1,,T50,
203825842,SEASTAR SERVICES INC,% DEBORAH FINLEY JACKSON,PO BOX 307456,ST THOMAS,VI,00803-7456,0000,03,3,1000,201209,1,15,000000000,1,01,202012,0,0,02,0,12,0,0,0,P20,
203898228,NEW STORY COMMUNITY,% WILLIAM GRACE,BELLEVUE WA 98006,AFGHANISTAN,,00000-0000,0000,03,3,1000,200606,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,X20,
204416398,HADDEN FAMILY FOUNDATION,% KEVIN J WEBER,PORT ROWAN ON N0E 1M0,CANADA,,00000-0000,0000,03,3,1000,200610,4,04,000000000,1,01,201812,5,3,00,1,12,648246,49321,,T22,
204733601,AMERICAN FRIENDS OF THE ART GALLERY OF ONTARIO INC,% CASSANDRA LEMAY,TORONTO ON M5T IG4,CANADA,,00000-0000,0000,03,3,1000,200612,4,15,000000000,1,01,201812,3,3,02,0,12,29966,46600,46600,A11,
204792577,INTERNATIONAL FEDERATION FOR PROFESSIONAL SPEAKERS INC,,TORONTO ONTARIO M3B 3N7,CANADA,,00000-0000,0000,06,3,2000,200706,2,00,000000000,1,01,201912,4,3,01,0,12,114026,72615,72615,S41,
204870511,CARIBBEAN ANTI-POVERTY RELIEFFOUNDATION,% PO BOX 12724,NASSAU BF BAHAMAS,THE BAHAMAS,,00000-0000,0000,03,3,1000,200702,1,04,000000000,1,01,201812,2,0,00,1,12,23378,0,,Q12,
204955039,HOG HAMMOCK PUBLIC LIBRARY,% MICHELE JOHNSON,SAPELO ISLAND GA 31327,GEORGIA,,00000-0000,0000,03,3,1000,200708,1,15,000000000,5,01,201912,0,0,02,0,12,0,0,0,B70,
205236431,JOY OF THE HEART FOUNDATION INC,% BRANDON A MARESMA CPA,ADDIS ABABA,ETHIOPIA,,00000-0000,0000,03,3,1200,201112,1,16,000000000,1,01,201912,0,0,02,0,12,0,0,0,Q30,
205478637,BOBS AND CROW LAKES FOUNDATION,% ALEXANDER CAMERON,VERONA ONTARIO K0H2W0,CANADA,,00000-0000,0000,03,3,1000,200709,4,15,000000000,1,01,202006,0,0,02,0,06,0,0,0,C32,
205521081,INTERNATIONAL ASSOCIATION OF WOODANATOMISTS,% REGIS B MILLER,LEIDEN RA 2300,NETHERLANDS,,00000-0000,0000,03,3,2000,200807,2,16,000000000,5,01,201912,0,0,02,0,12,0,0,0,B99,
